,Name,Status,USD Raised,End of ICO,Token Sale Price,Current price,Return(x),Rating
https://www.icodata.io/coin/funfair,FunFair,Completed,"$26,000,000.00",22.06.2017,$0.007114,$0.125248,17.605,0
https://www.icodata.io/coin/paypie,PayPie,Completed,"$26,000,000.00",08.10.2017,$0.339471,$3.06126,9.018,0
https://www.icodata.io/coin/bitclave,Catcoin,Completed,"$25,500,000.00",29.11.2017,$0.1,$0.108938,1.089,0
https://www.icodata.io/coin/aragon,Aragon,Completed,"$25,000,000.00",17.05.2017,$0.743933,$5.64627,7.590,0
https://www.icodata.io/coin/omise-go,OmiseGO,Completed,"$25,000,000.00",25.06.2017,$0.326,$23.2989,71.469,0
https://www.icodata.io/coin/props,Props Pre-sale,Completed,"$25,000,000.00",22.12.2017,$0.13,$0,0.000,0
https://www.icodata.io/coin/tierion,Tierion,Completed,"$25,000,000.00",09.08.2017,$0.071,$0.236379,3.329,0
https://www.icodata.io/coin/telcoin,Telcoin,Completed,"$25,000,000.00",31.12.2017,$0.001,$0,0.000,0
https://www.icodata.io/coin/aeternity-phase-2,Aeternity,Completed,"$24,990,653.00",09.06.2017,$0.283535,$2.14141,7.553,0
https://www.icodata.io/coin/decentraland,Decentraland,Completed,"$24,173,000.00",17.08.2017,$0.03,$0.153393,5.113,0
https://www.icodata.io/coin/0x,0x,Completed,"$24,000,000.00",16.08.2017,$0.048,$2.06368,42.993,0
https://www.icodata.io/coin/bitdegree,BitDegree,Completed,"$22,110,600.00",28.12.2017,$0.073702,$0,0.000,0
https://www.icodata.io/coin/sophiatx,SophiaTX,Completed,"$22,018,607.00",17.12.2017,$0.45,$0,0.000,0
https://www.icodata.io/coin/pillar,Pillar,Completed,"$21,986,902.00",17.07.2017,$0.09671,$1.16827,12.080,0
https://www.icodata.io/coin/blockv,BLOCKv,Completed,"$21,904,932.00",24.10.2017,$0,$0,0.000,0
https://www.icodata.io/coin/selfkey,Selfkey,Completed,"$21,780,000.00",14.01.2018,$0.015,$0,0.000,0
https://www.icodata.io/coin/simple-token,Simple Token,Completed,"$21,728,192.00",01.12.2017,$0.130631,$0,0.000,0
https://www.icodata.io/coin/ignis,Ignis,Completed,"$21,600,000.00",04.11.2017,$0.0391,$0,0.000,0
https://www.icodata.io/coin/kickico,KickCoin,Completed,"$21,582,000.00",16.09.2017,$0.073956,$0.10923,1.477,0
https://www.icodata.io/coin/bitair,BitAir,Completed,"$21,509,800.00",16.11.2017,$0,$0,0.000,0
https://www.icodata.io/coin/finshi-capital,Finshi Capital,Completed,"$21,420,274.00",06.10.2017,$1,$0,0.000,0
https://www.icodata.io/coin/medibloc,MediBloc,Completed,"$21,014,141.00",15.12.2017,$0,$0,0.000,0
https://www.icodata.io/coin/sense,Sense,Completed,"$21,000,000.00",30.11.2017,$0.1,$0,0.000,0
https://www.icodata.io/coin/presearch,Presearch,Completed,"$20,500,000.00",30.11.2017,$0.2,$0.523928,2.620,0
https://www.icodata.io/coin/giga-watt,Giga Watt Token,Completed,"$20,218,239.00",31.07.2017,$1,$1.55284,1.553,0
https://www.icodata.io/coin/lala-world,LALA World,Completed,"$20,200,000.00",13.01.2018,$0.13,$0,0.000,0
https://www.icodata.io/coin/aventus,Aventus,Completed,"$20,060,400.00",06.09.2017,$3.3434,$4.91838,1.471,0
https://www.icodata.io/coin/latoken,LAToken,Completed,"$20,000,000.00",10.10.2017,$0.419818,$1.25041,2.978,71
https://www.icodata.io/coin/theta,THETA,Completed,"$20,000,000.00",04.01.2018,$0.12,$0,0.000,0
https://www.icodata.io/coin/bread,Bread,Completed,"$20,000,000.00",16.12.2017,$0.772793,$2.12664,2.752,0
https://www.icodata.io/coin/trinity,Trinity,Completed,"$20,000,000.00",14.01.2018,$0.06,$0,0.000,0
https://www.icodata.io/coin/moeda,Moeda Loyalty Points,Completed,"$19,628,888.00",30.08.2017,$1,$3.59112,3.591,0
https://www.icodata.io/coin/utrust,UTRUST,Completed,"$19,375,000.00",20.11.2017,$0.065,$0,0.000,0
https://www.icodata.io/coin/qlink,Qlink,Completed,"$19,250,000.00",22.12.2017,$0.1,$0,0.000,0
https://www.icodata.io/coin/dmarket,DMarket,Completed,"$19,026,678.00",01.12.2017,$0.622053,$0,0.000,0
https://www.icodata.io/coin/uptoken,Uptoken,Completed,"$18,934,021.00",15.12.2017,$0.1,$0,0.000,0
https://www.icodata.io/coin/covesting,Covesting,Completed,"$18,800,000.00",31.12.2017,$1.44,$0,0.000,0
https://www.icodata.io/coin/hoqu,HOQU,Completed,"$18,782,400.00",11.01.2018,$0.22,$0,0.000,0
https://www.icodata.io/coin/open-anx,OAX,Completed,"$18,756,937.00",04.07.2017,$0.75,$0.668116,0.891,0
https://www.icodata.io/coin/rivetz,Rivetz,Completed,"$18,653,920.00",10.09.2017,$0.88,$2.00266,2.276,0
https://www.icodata.io/coin/cryptopay,Cryptopay,Completed,"$18,148,220.00",30.10.2017,$0.31,$0,0.000,0
